date,time,tweet
2021-03-27,05:16:54,#nifty #sensex #stockmarket #nse #sharemarket #bse #banknifty #trading #niftyfifty #indianstockmarket #investing #investment #intraday #stocks #money #stockmarketindia #stockmarketnews #finance #intradaytrading #india #dalalstreet #zerodha #indiansharemarket #stock #investor  https://t.co/qPXlEzPwyG
2021-03-27,05:15:31,#nifty #sensex #stockmarket #nse #sharemarket #bse #banknifty #trading #niftyfifty #indianstockmarket #investing #investment #intraday #stocks #money #stockmarketindia #stockmarketnews #finance #intradaytrading #india #dalalstreet #zerodha #indiansharemarket #stock #investor  https://t.co/XdhVvGY1SC
2021-03-27,05:14:49,#nifty #sensex #stockmarket #nse #sharemarket #bse #banknifty #trading #niftyfifty #indianstockmarket #investing #investment #intraday #stocks #money #stockmarketindia #stockmarketnews #finance #intradaytrading #india #dalalstreet #zerodha #indiansharemarket #stock #investor  https://t.co/yng5O9W7yg
2021-03-27,05:14:11,#nifty #sensex #stockmarket #nse #sharemarket #bse #banknifty #trading #niftyfifty #indianstockmarket #investing #investment #intraday #stocks #money #stockmarketindia #stockmarketnews #finance #intradaytrading #india #dalalstreet #zerodha #indiansharemarket #stock #investor  https://t.co/avQavJI9Qg
2021-03-27,03:40:04,#BANKNIFTY1! - BANKNIFTY levels for 30-Mar-2021 - TradingView -  https://t.co/ObpyM9F8Ev
2021-03-27,03:35:14,"Check out my latest video ""NIFTY AND BANK NIFTY ANALYSIS I BEST STOCKS FOR TOMORROW I HOPE U UNDERSTOOD DEAD CAT BOUNCE THEORY #thestockmarketmantra #DeadCatBounce #bankniftyanalysis #niftyanalysis""  Watch Now:  https://t.co/3noXnWBrZx  (Posted via  https://t.co/6lWWosfwIe)  https://t.co/iZYHgWNjSi"
2021-03-27,03:28:02,Would it surprise you if your bank stole your money??  Helpful insights to build your own currency action plan! You may not be aware ..  #money #banknifty #banks #survival #howto  https://t.co/vqzKSfdRjU
2021-03-27,01:30:03,#BANKNIFTY - THE ULTIMATE TECHNIQUES TO TRADE INTRADAY Vol 2 - TradingView -  https://t.co/7sXK4Hpm0D
2021-03-27,01:23:16,#TwoLinesClubViews #nifty #banknifty  Fresh Opportunity Windows.  https://t.co/2wbTgNLDDI
2021-03-27,01:23:12,"Theek hi bole the na bhaiyon? #BankNifty I said is a big short as on Feb 16 and will probably fall 10% in a month? Hain na, hain na?  https://t.co/ozxLooEGu2"
2021-03-27,01:10:10, https://t.co/7cYrOstygf
2021-03-27,01:06:00, https://t.co/JQAXHws7St
2021-03-27,00:56:55,@vivbajaj @GordunGekko Nifty SL 25points and Bank nifty SL 100points that's the ideal risk for a retailer...that's not possible overnight...
2021-03-27,00:54:18,#bazaarkhabri #invest #investor #trading #investing #financialfreedom #stocks #stockmarket #stockmarketindia #sensex #nifty50 #indianstockmarket #banknifty #bankniftyoptions #marketnews #dalalstreet #stockmarketindia #bigbull #selling #buying  #nse #bse #nasdaq #tradenifty50  https://t.co/iAbdR8VBmk
2021-03-27,00:40:04,#BANKNIFTY - Bank Nifty - Tuesday Trade | 30th March - TradingView -  https://t.co/cUxKrcirLL
2021-03-27,00:24:10,"Tesla's share price is expected to reach $3,000 by 2025 and market capitalization to hit $4 Trillion. . #tesla #Sharemarket #sharemarkettips #sharemarketnews #sharemarketindia #sharemarketing #sharemarketstudies #sharemarketeducation #banknifty #dalalstreet #intraday #zerodha  https://t.co/fbWLrYyiYS"
2021-03-27,00:14:39,#nifty #banknifty #nifty50 #niftybank  #YoungBoys #Singer #buddingartist
2021-03-26,23:59:39,"@kuttrapali, could you guide me to website/software/people/any source to obtain ORDER BOOK CHART for nifty, bank nifty and stocks please? i am struggling to find it on the internet. found some order book analysis videos and charts but none for indian indices. thank you"
2021-03-26,23:56:07,"Dow close near 32628 was a bullish sign. As expected, Nifty gapped up and took support at our R1 14433, but couldn't manage to cross R2 14529. Scalping in Bank Nifty worked perfect. Nifty &amp; BNF will now follow Dow. If Dow closes near 32826 tonight, we're in for a big rally soon  https://t.co/1kfA1ixEkV"
2021-03-26,23:55:17,"@GordunGekko Hi Gordon, Assuming that you have stopped taking bank nifty short strangle trades since you have stopped posting it on the group. Would you mind sharing the setup?"
2021-03-26,23:54:13,Nifty and Banknifty Chart setups for 30th and 31st March 2021 (#208)  https://t.co/HQTWu7RQJq via @YouTube
2021-03-26,23:47:34,@banknifty_9 Sir join karna hoto kese kare
2021-03-26,23:44:50,@beginners_trade Banknifty 32800 possible next week? What's on charts?
2021-03-26,23:38:12,Weekly closing isn't indicating reversal yet for #nifty50 #nifty
2021-03-26,23:37:31,Would Like To go Positional Trade in #April  It Looks Like Going Intraday was Appropriate in That Volatility and Closed March Series on a Good Note.  Not Expecting such Kind of Volatility in #April   #Nifty #BankNifty #StockMarket #stockstowatch
2021-03-26,23:37:26,Weekly closing isn't indicating reversal yet
